Locus_Tag	Gene_Name	Product_Description	Strain_Name	Accession	GO_Term	Namespace	GO_Evidence_Code	Evidence_Ontology_ECO_Code	Evidence_Ontology_Term	Similar_To_Binds_To	PMID
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:9756859
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006265	DNA topological change	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:6327603
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0042493	response to drug	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:9144789
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006351	transcription, DNA-templated	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:15535863
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003677	DNA binding	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:6294616
PA0004	gyrB	DNA gyrase subunit B	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:368801
PA0005	lptA	lysophosphatidic acid acyltransferase, LptA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008152	metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SM00563	PMID:24451626
PA0005	lptA	lysophosphatidic acid acyltransferase, LptA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016746	transferase activity, transferring acyl groups	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SM00563	PMID:24451626
PA0005	lptA	lysophosphatidic acid acyltransferase, LptA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0042171	lysophosphatidic acid acyltransferase activity	molecular_function	IMP	ECO:0000015	mutant phenotype evidence		PMID:16079332
PA0005	lptA	lysophosphatidic acid acyltransferase, LptA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008654	phospholipid biosynthetic process	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:16079332
PA0006	PA0006	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016791	phosphatase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR01656	PMID:24451626
PA0006	PA0006	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005975	carbohydrate metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF004682	PMID:24451626
PA0007	PA0007	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009055	electron carrier activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.10.760.10	PMID:24451626
PA0007	PA0007	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0020037	heme binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.10.760.10	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000166	nucleotide binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50861	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004820	glycine-tRNA ligase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50861	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50861	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005737	cytoplasm	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50861	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006426	glycyl-tRNA aminoacylation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50861	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004814	arginine-tRNA ligase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF05746	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006420	arginyl-tRNA aminoacylation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF05746	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004812	aminoacyl-tRNA ligase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.10.730.10	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006418	tRNA aminoacylation for protein translation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:1.10.730.10	PMID:24451626
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006520	cellular amino acid metabolic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0008	glyS	glycyl-tRNA synthetase beta chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0044267	cellular protein metabolic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000166	nucleotide binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02091	PMID:24451626
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004820	glycine-tRNA ligase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02091	PMID:24451626
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02091	PMID:24451626
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005737	cytoplasm	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02091	PMID:24451626
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006426	glycyl-tRNA aminoacylation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF02091	PMID:24451626
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006520	cellular amino acid metabolic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0009	glyQ	glycyl-tRNA synthetase alpha chain	Pseudomonas aeruginosa PAO1 (Reference)	GO:0044267	cellular protein metabolic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0010	tag	DNA-3-methyladenine glycosidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003824	catalytic activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF48150	PMID:24451626
PA0010	tag	DNA-3-methyladenine glycosidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006281	DNA repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF48150	PMID:24451626
PA0010	tag	DNA-3-methyladenine glycosidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006284	base-excision repair	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF03352	PMID:24451626
PA0010	tag	DNA-3-methyladenine glycosidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006307	DNA dealkylation involved in DNA repair	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion	UniProtKB:P05100	PMID:3536857
PA0010	tag	DNA-3-methyladenine glycosidase I	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008725	DNA-3-methyladenine glycosylase activity	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:3536857
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF026649	PMID:24451626
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016740	transferase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF026649	PMID:24451626
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0034605	cellular response to heat	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:22146126
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0071470	cellular response to osmotic stress	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:22146126
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0071236	cellular response to antibiotic	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:22146126
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	molecular_function	IDA	ECO:0005526	null		PMID:26223882
PA0011	htrB1	acyltransferase HtrB1	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009245	lipid A biosynthetic process	biological_process	IDA	ECO:0005526	null		PMID:26223882
PA0012	PA0012	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0035438	cyclic-di-GMP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF07238	PMID:24451626
PA0015	PA0015	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005515	protein binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SM00028	PMID:24451626
PA0016	trkA	potassium uptake protein TrkA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006813	potassium ion transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:3.30.70.1450	PMID:24451626
PA0016	trkA	potassium uptake protein TrkA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008324	cation transmembrane transporter activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:3.30.70.1450	PMID:24451626
PA0016	trkA	potassium uptake protein TrkA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005886	plasma membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PR00335	PMID:24451626
PA0016	trkA	potassium uptake protein TrkA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015079	potassium ion transmembrane transporter activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PR00335	PMID:24451626
PA0016	trkA	potassium uptake protein TrkA	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006810	transport	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0017	PA0017	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008168	methyltransferase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51686	PMID:24451626
PA0017	PA0017	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003723	RNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01153	PMID:24451626
PA0017	PA0017	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006355	regulation of transcription, DNA-templated	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF48013	PMID:24451626
PA0017	PA0017	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006364	rRNA processing	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00563	PMID:24451626
PA0017	PA0017	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008649	rRNA methyltransferase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00563	PMID:24451626
PA0018	fmt	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009058	biosynthetic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:3.40.50.170	PMID:24451626
PA0018	fmt	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016742	hydroxymethyl-, formyl- and related transferase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:G3DSA:3.40.50.170	PMID:24451626
PA0018	fmt	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003824	catalytic activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF50486	PMID:24451626
PA0018	fmt	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004479	methionyl-tRNA formyltransferase activity	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion	UniProtKB:P23882	PMID:6989606
PA0018	fmt	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0022898	regulation of transmembrane transporter activity	biological_process	IMP	ECO:0000015	mutant phenotype evidence		PMID:19786597
PA0018	fmt	methionyl-tRNA formyltransferase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0071951	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:6989606
PA0019	def	polypeptide deformylase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0044267	cellular protein metabolic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0020	tsaP	T4P secretin-associated protein TsaP	Pseudomonas aeruginosa PAO1 (Reference)	GO:0042834	peptidoglycan binding	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion	UniProtKB:D1DKP9	PMID:24556993
PA0021	PA0021	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009294	DNA mediated transformation	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00732	PMID:24451626
PA0022	PA0022	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0003725	double-stranded RNA binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS51163	PMID:24451626
PA0022	PA0022	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0002949	tRNA threonylcarbamoyladenosine modification	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01852	PMID:24451626
PA0022	PA0022	conserved hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005524	ATP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_01852	PMID:24451626
PA0023	qor	quinone oxidoreductase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF08240	PMID:24451626
PA0023	qor	quinone oxidoreductase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008270	zinc ion binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01162	PMID:24451626
PA0023	qor	quinone oxidoreductase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016491	oxidoreductase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS01162	PMID:24451626
PA0023	qor	quinone oxidoreductase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004459	L-lactate dehydrogenase activity	molecular_function	ISS	ECO:0000044	sequence similarity evidence		
PA0023	qor	quinone oxidoreductase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006091	generation of precursor metabolites and energy	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0024	hemF	coproporphyrinogen III oxidase, aerobic	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006779	porphyrin-containing compound biosynthetic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF000166	PMID:24451626
PA0024	hemF	coproporphyrinogen III oxidase, aerobic	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PIRSF000166	PMID:24451626
PA0024	hemF	coproporphyrinogen III oxidase, aerobic	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015994	chlorophyll metabolic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0024	hemF	coproporphyrinogen III oxidase, aerobic	Pseudomonas aeruginosa PAO1 (Reference)	GO:0051188	cofactor biosynthetic process	biological_process	ISS	ECO:0000044	sequence similarity evidence		
PA0024	hemF	coproporphyrinogen III oxidase, aerobic	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004109	coproporphyrinogen oxidase activity	molecular_function	IGI	ECO:0000316	genetic interaction evidence used in manual assertion		PMID:9767567
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0055114	oxidation-reduction process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:MF_00222	PMID:24451626
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0019632	shikimate metabolic process	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00507	PMID:24451626
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0050661	NADP binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:TIGR00507	PMID:24451626
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0000162	tryptophan biosynthetic process	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:3277621
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006520	cellular amino acid metabolic process	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:3277621
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006571	tyrosine biosynthetic process	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:3277621
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0009094	L-phenylalanine biosynthetic process	biological_process	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:3277621
PA0025	aroE	shikimate dehydrogenase	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004764	shikimate 3-dehydrogenase (NADP+) activity	molecular_function	ISS	ECO:0000250	sequence similarity evidence used in manual assertion		PMID:3277621
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016788	hydrolase activity, acting on ester bonds	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:SSF48537	PMID:24451626
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008270	zinc ion binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd11009	PMID:24451626
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0004629	phospholipase C activity	molecular_function	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:15306013
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006935	chemotaxis	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:15306013
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015628	protein secretion by the type II secretion system	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:15306013
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0043952	protein transport by the Sec complex	biological_process	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:15306013
PA0026	plcB	phospholipase C, PlcB	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016298	lipase activity	molecular_function	IDA	ECO:0000314	direct assay evidence used in manual assertion		PMID:15306013
PA0027	PA0027	hypothetical protein	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016853	isomerase activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PS50198	PMID:24451626
PA0029	PA0029	probable sulfate transporter	Pseudomonas aeruginosa PAO1 (Reference)	GO:0008272	sulfate transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00916	PMID:24451626
PA0029	PA0029	probable sulfate transporter	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015116	sulfate transmembrane transporter activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00916	PMID:24451626
PA0029	PA0029	probable sulfate transporter	Pseudomonas aeruginosa PAO1 (Reference)	GO:0016021	integral component of membrane	cellular_component	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF00916	PMID:24451626
PA0030	cosX	CosX	Pseudomonas aeruginosa PAO1 (Reference)	GO:0015871	choline transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd13640	PMID:24451626
PA0030	cosX	CosX	Pseudomonas aeruginosa PAO1 (Reference)	GO:0033265	choline binding	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:cd13640	PMID:24451626
PA0030	cosX	CosX	Pseudomonas aeruginosa PAO1 (Reference)	GO:0005215	transporter activity	molecular_function	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF04069	PMID:24451626
PA0030	cosX	CosX	Pseudomonas aeruginosa PAO1 (Reference)	GO:0006810	transport	biological_process	ISM	ECO:0000259	match to InterPro signature evidence used in automatic assertion	InterPro:PF04069	PMID:24451626
